pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,pDayofWeek,pYear,pMonth,pHour,avg_speed,pdate,holiday,weekend
-78.46890345974249,-0.131419620149251,-78.49470579999999,-0.202961000000004,1996.0,9300.0,839.0,0.0,2016.0,9.0,7.0,17.0,2016-09-19,0,0
-78.4987509903023,-0.190141224181344,-78.48261424705879,-0.20007754779410802,689.0,2698.0,280.0,0.0,2016.0,9.0,8.0,14.0,2016-09-19,0,0
-78.4985648977685,-0.126729368341307,-78.4883125232428,-0.157730230254917,658.0,4028.0,161.0,0.0,2016.0,9.0,8.0,22.0,2016-09-19,0,0
-78.4788036178588,-0.196742235979047,-78.50883094,-0.218756619999993,1056.0,4651.0,436.0,0.0,2016.0,9.0,8.0,16.0,2016-09-19,0,0
-78.50495612494001,-0.17676626978653098,-78.505477496,-0.19262029999999802,664.0,4070.0,71.0,0.0,2016.0,9.0,9.0,22.0,2016-09-19,0,0
-78.5098276555539,-0.193763493252615,-78.48609251610449,-0.194019915669202,896.0,4279.0,373.0,0.0,2016.0,9.0,9.0,17.0,2016-09-19,0,0
-78.5496699574468,-0.27496002978724604,-78.5523486311828,-0.258671979569898,655.0,2543.0,341.0,0.0,2016.0,9.0,9.0,14.0,2016-09-19,0,0
-78.50591300031309,-0.18114076276263896,-78.49443437191009,-0.186919911235958,344.0,1963.0,114.0,0.0,2016.0,9.0,9.0,21.0,2016-09-19,0,0
-78.50591300031309,-0.18114076276263896,-78.49443437191009,-0.186919911235958,344.0,1963.0,114.0,0.0,2016.0,9.0,9.0,21.0,2016-09-19,0,0
-78.505074537929,-0.17710706272826102,-78.48771597891592,-0.159564783125126,1010.0,5490.0,358.0,0.0,2016.0,9.0,9.0,20.0,2016-09-19,0,0
-78.4849189310345,-0.171782786206871,-78.4868409362375,-0.17575801110255,114.0,581.0,31.0,0.0,2016.0,9.0,9.0,18.0,2016-09-19,0,0
-78.49096841962621,-0.17980717196261897,-78.49351746548069,-0.19182540753621696,285.0,1594.0,95.0,0.0,2016.0,9.0,10.0,20.0,2016-09-19,0,0
-78.5052681785273,-0.18084589091982503,-78.4936344100601,-0.20363638796227998,1419.0,5538.0,489.0,0.0,2016.0,9.0,9.0,14.0,2016-09-19,0,0
-78.4754967138465,-0.163026208464427,-78.4862519451769,-0.175633853464978,1368.0,2149.0,125.0,0.0,2016.0,9.0,9.0,6.0,2016-09-19,0,0
-78.4910208435714,-0.192443463571422,-78.551467316,-0.267465232000025,2421.0,14000.0,731.0,0.0,2016.0,9.0,9.0,21.0,2016-09-19,0,0
-78.4653101187473,-0.136908623797996,-78.50980822,-0.20328727999998603,4553.0,11688.0,551.0,0.0,2016.0,9.0,9.0,9.0,2016-09-19,0,0
-78.5048411822449,-0.17670769185329502,-78.504707752,-0.18057257600001603,2450.0,1252.0,104.0,0.0,2016.0,9.0,9.0,2.0,2016-09-19,0,0
-78.5052681785273,-0.18084589091982503,-78.4936344100601,-0.20363638796227998,1419.0,5538.0,489.0,0.0,2016.0,9.0,9.0,14.0,2016-09-19,0,0
-78.4669325888522,-0.137408231380732,-78.45842684,-0.15780130000000303,807.0,3842.0,375.0,0.0,2016.0,9.0,10.0,17.0,2016-09-19,0,0
-78.5026593707301,-0.18368660432565198,-78.500342112586,-0.201367266717485,1385.0,4532.0,627.0,0.0,2016.0,9.0,10.0,12.0,2016-09-19,0,0
-78.5008605,-0.19976730000001397,-78.4924582627539,-0.207267637471776,848.0,2425.0,445.0,0.0,2016.0,9.0,10.0,10.0,2016-09-19,0,0
-78.5026593707301,-0.18368660432565198,-78.500342112586,-0.201367266717485,1385.0,4532.0,627.0,0.0,2016.0,9.0,10.0,12.0,2016-09-19,0,0
-78.4677726002657,-0.148349022429172,-78.4947941226213,-0.171367529048059,1372.0,4830.0,601.0,0.0,2016.0,9.0,11.0,13.0,2016-09-19,0,0
-78.5048654790492,-0.18039949833338,-78.50745568,-0.185237400000026,720.0,5386.0,151.0,0.0,2016.0,9.0,11.0,27.0,2016-09-19,0,0
-78.52042293817209,-0.125013777311845,-78.49261159851959,-0.140938462629182,766.0,5705.0,69.0,4.0,2016.0,9.0,6.0,27.0,2016-09-16,0,0
-78.49527226687529,-0.21313577641228101,-78.4841381824668,-0.19391773514761398,1538.0,4501.0,895.0,0.0,2016.0,9.0,11.0,11.0,2016-09-19,0,0
-78.5048654790492,-0.18039949833338,-78.50745568,-0.185237400000026,720.0,5386.0,151.0,0.0,2016.0,9.0,11.0,27.0,2016-09-19,0,0
-78.5047819223054,-0.18055918859703102,-78.49125309978349,-0.189491635930724,1014.0,3406.0,519.0,0.0,2016.0,9.0,11.0,12.0,2016-09-19,0,0
-78.5048169212905,-0.176522953836978,-78.485020244,-0.21295847000000898,1569.0,7289.0,531.0,0.0,2016.0,9.0,11.0,17.0,2016-09-19,0,0
-78.4842680858664,-0.193448890830132,-78.51320531378441,-0.26561824406221396,1853.0,12273.0,444.0,0.0,2016.0,9.0,11.0,24.0,2016-09-19,0,0
-78.4803754609892,-0.18873243815409102,-78.5005234201198,-0.212447032003447,2423.0,3714.0,1821.0,0.0,2016.0,9.0,11.0,6.0,2016-09-19,0,0
-78.4631286837069,-0.136906894853751,-78.4767562752172,-0.14020488800643602,477.0,2096.0,167.0,0.0,2016.0,9.0,12.0,16.0,2016-09-19,0,0
-78.4845822000005,-0.169976535942836,-78.45330635406779,-0.0960119203390013,16301.0,12935.0,729.0,0.0,2016.0,9.0,8.0,3.0,2016-09-19,0,0
-78.4892537289035,-0.155816828505435,-78.4987953325618,-0.124476834895254,909.0,4550.0,356.0,0.0,2016.0,9.0,12.0,18.0,2016-09-19,0,0
-78.4891655610032,-0.19262580945697896,-78.47876148558859,-0.18633998032300897,1572.0,4761.0,920.0,0.0,2016.0,9.0,1.0,11.0,2016-09-19,0,0
-78.5270667767397,-0.239011640055135,-78.50725065142859,-0.24300477714286897,1620.0,5568.0,757.0,0.0,2016.0,9.0,1.0,12.0,2016-09-19,0,0
-78.50484393925821,-0.176790417982179,-78.49526090399999,-0.20644446599999697,967.0,6304.0,230.0,0.0,2016.0,9.0,1.0,23.0,2016-09-19,0,0
-78.5047819223054,-0.18055918859703102,-78.49125309978349,-0.189491635930724,1014.0,3406.0,519.0,0.0,2016.0,9.0,11.0,12.0,2016-09-19,0,0
-78.5049177371471,-0.180603387518573,-78.504975234453,-0.134096166835008,836.0,6742.0,94.0,0.0,2016.0,9.0,2.0,29.0,2016-09-19,0,0
-78.4768775526099,-0.203123528250142,-78.484124813783,-0.206333629912013,1305.0,2936.0,168.0,0.0,2016.0,9.0,2.0,8.0,2016-09-19,0,0
-78.4318495526798,-0.138605658735198,-78.4174118408128,-0.13655387681630698,7330.0,59823.0,2513.0,0.0,2016.0,9.0,12.0,29.0,2016-09-19,0,0
-78.505702851699,-0.180926889402079,-78.48322882,-0.13108408000001198,1243.0,9652.0,397.0,0.0,2016.0,9.0,3.0,28.0,2016-09-19,0,0
-78.4736698452783,-0.161872471750138,-78.4658676644068,-0.15294863898306,65122.0,1333.0,441.0,6.0,2016.0,9.0,9.0,0.0,2016-09-18,0,1
-78.465808,-0.15291070000001902,-78.46172032,-0.151485120000023,72.0,496.0,15.0,0.0,2016.0,9.0,3.0,25.0,2016-09-19,0,0
-78.46921024,-0.131535580000003,-78.47021992,-0.13173768000001101,10001.0,115.0,0.0,0.0,2016.0,9.0,1.0,0.0,2016-09-19,0,0
-78.48099334708071,-0.176656873937254,-78.46878913562419,-0.165161857440104,870.0,2998.0,563.0,0.0,2016.0,9.0,3.0,12.0,2016-09-19,0,0
-78.4632760138514,-0.13137933429305199,-78.4755240754383,-0.0881194970259919,715.0,6230.0,169.0,0.0,2016.0,9.0,3.0,31.0,2016-09-19,0,0
-78.50502373526909,-0.17709607965926397,-78.4879646216113,-0.10911426827552699,1534.0,14743.0,275.0,0.0,2016.0,9.0,3.0,35.0,2016-09-19,0,0
-78.4968424081529,-0.242158989808903,-78.49776157804409,-0.242043822893587,28.0,103.0,9.0,0.0,2016.0,9.0,4.0,13.0,2016-09-19,0,0
-78.49781264124371,-0.24201569512175303,-78.49751272,-0.262053760000001,496.0,2716.0,195.0,0.0,2016.0,9.0,4.0,20.0,2016-09-19,0,0
-78.50428390318791,-0.176165215485687,-78.487056816,-0.16293048400001597,1045.0,5359.0,483.0,0.0,2016.0,9.0,4.0,18.0,2016-09-19,0,0
-78.4370345688388,-0.19786574653391,-78.44744304666669,-0.188468630000021,338.0,3317.0,118.0,4.0,2016.0,9.0,6.0,35.0,2016-09-16,0,0
-78.43167693475151,-0.18903214007734304,-78.436480888,-0.196296652000019,549.0,3637.0,59.0,0.0,2016.0,9.0,4.0,24.0,2016-09-19,0,0
